11,7,"[2, 3, 4, 4]","[2, 3, 4, 4]"
11,8,"[0, 2, 3, 4]","[0, 2, 4, 4]"
11,9,"[0, 2, 3, 4]","[0, 2, 4, 4]"
6,0,"[1, 2, 3, 3]","[1, 2, 3, 4]"
6,1,"[1, 1, 3, 4]","[1, 1, 4, 4]"
6,2,"[1, 1, 3, 4]","[1, 1, 4, 4]"
6,3,"[0, 2, 3, 4]","[0, 2, 4, 4]"
6,4,"[1, 2, 4, 4]","[1, 4, 4, 4]"
6,5,"[2, 2, 4, 4]","[2, 2, 4, 4]"
6,6,"[2, 2, 3, 4]","[2, 2, 4, 4]"
6,7,"[2, 2, 3, 3]","[2, 2, 3, 4]"
6,8,"[0, 3, 4, 4]","[0, 3, 4, 4]"
6,9,"[0, 1, 3, 4]","[0, 1, 4, 4]"
4,0,"[0, 2, 4, 4]","[0, 3, 4, 4]"
4,1,"[0, 2, 3, 4]","[0, 2, 4, 4]"
4,2,"[0, 1, 3, 4]","[0, 1, 4, 4]"
4,3,"[0, 3, 3, 4]","[0, 3, 3, 4]"
4,4,"[0, 2, 3, 4]","[0, 3, 4, 4]"
4,5,"[1, 1, 3, 4]","[1, 1, 4, 4]"
4,6,"[0, 1, 3, 4]","[0, 1, 4, 4]"
4,7,"[0, 2, 3, 4]","[0, 2, 4, 4]"
4,8,"[0, 3, 4, 4]","[0, 3, 4, 4]"
4,9,"[0, 3, 4, 4]","[0, 3, 4, 4]"
16,0,"[0, 0, 3, 4]","[0, 0, 4, 4]"
16,1,"[0, 2, 3, 4]","[0, 3, 3, 4]"
16,2,"[0, 2, 4, 4]","[0, 4, 4, 4]"
16,3,"[0, 2, 4, 4]","[0, 4, 4, 4]"
16,4,"[0, 2, 3, 4]","[0, 2, 4, 4]"
16,5,"[0, 4, 4, 4]","[0, 4, 4, 4]"
16,6,"[2, 3, 4, 4]","[2, 3, 4, 4]"
16,7,"[0, 2, 4, 4]","[0, 4, 4, 4]"
16,8,"[1, 3, 3, 4]","[1, 3, 3, 4]"
16,9,"[1, 2, 4, 4]","[1, 3, 4, 4]"
15,0,"[0, 2, 3, 4]","[0, 3, 4, 4]"
15,1,"[1, 2, 3, 4]","[1, 2, 4, 4]"
15,2,"[0, 3, 4, 4]","[0, 3, 4, 4]"
15,3,"[1, 3, 4, 4]","[1, 3, 4, 4]"
15,4,"[0, 3, 3, 3]","[0, 3, 3, 4]"
15,5,"[0, 3, 4, 4]","[0, 3, 4, 4]"
15,6,"[0, 3, 3, 4]","[0, 3, 3, 4]"
15,7,"[1, 1, 2, 3]","[1, 1, 3, 4]"
15,8,"[1, 3, 4, 4]","[1, 4, 4, 4]"
15,9,"[0, 2, 4, 4]","[0, 4, 4, 4]"
14,0,"[0, 3, 4, 4]","[0, 3, 4, 4]"
14,1,"[0, 2, 3, 4]","[0, 3, 4, 4]"
14,2,"[0, 2, 3, 4]","[0, 2, 4, 4]"
14,3,"[0, 3, 4, 4]","[0, 3, 4, 4]"
14,4,"[0, 2, 4, 4]","[0, 3, 4, 4]"
14,5,"[2, 2, 3, 4]","[2, 2, 3, 4]"
14,6,"[0, 2, 4, 4]","[0, 2, 4, 4]"
14,7,"[0, 2, 4, 4]","[0, 3, 4, 4]"
14,8,"[1, 1, 3, 4]","[1, 1, 4, 4]"
14,9,"[0, 2, 3, 4]","[0, 2, 4, 4]"
9,0,"[0, 2, 4, 4]","[0, 3, 4, 4]"
9,1,"[0, 3, 4, 4]","[0, 3, 4, 4]"
9,2,"[0, 2, 3, 4]","[0, 2, 3, 4]"
9,3,"[0, 2, 3, 4]","[0, 3, 4, 4]"
9,4,"[1, 3, 4, 4]","[1, 4, 4, 4]"
9,5,"[0, 2, 3, 3]","[0, 2, 3, 4]"
9,6,"[0, 1, 3, 4]","[0, 1, 4, 4]"
9,7,"[1, 2, 3, 4]","[1, 2, 4, 4]"
9,8,"[0, 3, 4, 4]","[0, 3, 4, 4]"
9,9,"[0, 2, 4, 4]","[0, 4, 4, 4]"
39,0,"[0, 2, 3, 4]","[0, 2, 4, 4]"
39,1,"[1, 3, 4, 4]","[1, 3, 4, 4]"
39,2,"[0, 3, 4, 4]","[0, 3, 4, 4]"
39,3,"[0, 2, 3, 4]","[0, 2, 4, 4]"
39,4,"[2, 3, 4, 4]","[2, 3, 4, 4]"
39,5,"[0, 1, 3, 3]","[0, 3, 3, 4]"
39,6,"[3, 3, 4, 4]","[3, 3, 4, 4]"
39,7,"[1, 1, 2, 4]","[1, 1, 4, 4]"
39,8,"[1, 2, 4, 4]","[1, 2, 4, 4]"
39,9,"[2, 2, 3, 3]","[2, 2, 3, 4]"
20,0,"[0, 2, 3, 4]","[0, 2, 4, 4]"
20,1,"[0, 1, 4, 4]","[0, 3, 4, 4]"
20,2,"[0, 3, 3, 4]","[0, 3, 3, 4]"
20,3,"[1, 3, 4, 4]","[1, 3, 4, 4]"
20,4,"[0, 2, 3, 4]","[0, 2, 4, 4]"
20,5,"[0, 1, 2, 3]","[0, 1, 3, 4]"
20,6,"[1, 1, 3, 4]","[1, 1, 4, 4]"
20,7,"[0, 2, 3, 4]","[0, 2, 4, 4]"
20,8,"[2, 3, 3, 4]","[2, 3, 3, 4]"
20,9,"[1, 3, 4, 4]","[1, 3, 4, 4]"
36,0,"[0, 3, 3, 4]","[0, 3, 3, 4]"
36,1,"[0, 3, 4, 4]","[0, 3, 4, 4]"
36,2,"[0, 2, 3, 4]","[0, 2, 4, 4]"
36,3,"[2, 3, 4, 4]","[2, 3, 4, 4]"
36,4,"[1, 2, 3, 4]","[1, 2, 4, 4]"
